Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-3.80710929598202E-05,2.51018747888382E-11,0.0521364992519443,0,0,0,18.0042053833193,0.111171250870126,-4.32963046805822E-11,8.10586042850297E-06,0.111147608726193,-1.45510544278722E-11,0.185627230775605,0,0,0,0,0,0,package://A1-legs_V1/meshes/base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/base.STL,,00_2-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_R0,3.26938949849073E-05,-0.014957059296975,-1.26344156530787E-05,0,0,0,0.61679524342264,0.000340026914610432,7.23848600801704E-07,1.12938992891263E-07,0.000377989494865985,1.42990092506883E-07,0.000329963276260536,0,0,0,0,0,0,package://A1-legs_V1/meshes/link_R0.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/link_R0.STL,,A1-ARM-R_ASM-1/A1-BASE-R_ASM-1/00001-1;A1-ARM-R_ASM-1/A1-BASE-R_ASM-1/_2D000_2-1,AR0,R0,joint_R0,fixed,0,-0.021,-0.0549999999999861,0,0,0,base,0,0,0,,,,,,,,,,,,
Link_R1,-0.000725994447676563,-0.0843145678884068,3.44138222342211E-05,0,0,0,0.558316462381589,0.000499267422167382,-1.53891469436153E-05,1.39740005169956E-07,0.000296083727968665,9.36994196807716E-07,0.000586889591082132,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R1.STL,1,1,1,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R1.STL,,A1-ARM-R_ASM-1/JOINT01_ASM-1/A1-LG1-100-1;A1-ARM-R_ASM-1/JOINT01_ASM-1/0003-1;A1-ARM-R_ASM-1/JOINT01_ASM-1/00001-1;A1-ARM-R_ASM-1/JOINT01_ASM-1/A1-SCZJJ-0001-1;A1-ARM-R_ASM-1/JOINT01_ASM-1/A1-JXGR-0001-1;A1-ARM-R_ASM-1/JOINT01_ASM-1/A1-JSGR-S2-0001-1,AR1,R1,joint_R1,revolute,0,-0.0412500000000141,0,0,0,0,link_R0,0,-1,0,0,0,-1.04,3.14,,,,,,,,
Link_R2,0.00119508212363496,-4.68583101729814E-05,-0.0798974670961869,0,0,0,0.533593231448851,0.000426496471705568,8.34770823533316E-08,-8.88423281928582E-06,0.000566595210425758,-8.47389916108917E-07,0.000348451637999331,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R2.STL,1,1,1,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R2.STL,,A1-ARM-R_ASM-1/JOINT02_ASM-1/A1-LG2-200-1;A1-ARM-R_ASM-1/JOINT02_ASM-1/00001-1;A1-ARM-R_ASM-1/JOINT02_ASM-1/A1-DBSR2-20001-1;A1-ARM-R_ASM-1/JOINT02_ASM-1/A1-DBSR1-10001-1,AR2,R2,joint_R2,revolute,0,-0.0987000000000372,0,0,0,0,Link_R1,1,0,0,0,0,-3.14,0.26,,,,,,,,
Link_R3,3.35350970910023E-06,0.00146193831280805,-0.0993651982897883,0,0,0,0.546195981394614,0.000392035508171672,5.95919347572568E-09,9.36636770242911E-08,0.000312101033486941,3.44130096407049E-06,0.000330490502633573,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R3.STL,1,1,1,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R3.STL,,A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-LG3-300-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/00001-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-ZGJ1-1000-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-SCZJJ-0001-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-LGXWK-0001-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-DBX2-2000_2-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-DBX2-2000-2;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-DBX1-1000_2-1;A1-ARM-R_ASM-1/JOINT03_AF0_ASM-1/A1-DBX1-1000-2,AR3,R3,joint_R3,revolute,0,0,-0.121499999999985,0,0,0,Link_R2,0,0,-1,0,0,-2.76,2.76,,,,,,,,
Link_R4,-0.000506424302356211,-0.00137350039886375,-0.142706461168774,0,0,0,0.836480486344227,0.000434832131163987,-1.52658833725737E-09,4.28528471932091E-07,0.000465061808041235,9.95098175794634E-06,0.000382288448694254,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R4.STL,1,1,1,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R4.STL,,A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-LG5-500-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-SCZJJ-0001-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/43100001-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-LGXWK-0001-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-XBX2-2000-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-XBX1-1000-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-NW2-200-1;A1-ARM-R_ASM-1/JOINT05_ASM-1/A1-NW1-100-1;A1-ARM-R_ASM-1/JOINT04_ASM-1/A1-ZGJ2-2000-1;A1-ARM-R_ASM-1/JOINT04_ASM-1/43100001-1;A1-ARM-R_ASM-1/JOINT04_ASM-1/A1-XBS2-2000-1;A1-ARM-R_ASM-1/JOINT04_ASM-1/A1-XBS1-1000-1;A1-ARM-R_ASM-1/JOINT04_ASM-1/A1-LG4-400-1,AR4,R4,joint_R4,revolute,0,0,-0.112000000000158,0,0,0,Link_R3,0,-1,0,0,0,-1.92,0,,,,,,,,
Link_R5,0.053122054173221,0.0047820899110009,-0.00725771413397969,0,0,0,0.473024154047175,0.000251259517554571,1.86694277679257E-05,-1.5299672171155E-05,0.000275858451589568,-1.25600836997285E-05,0.000259713334355362,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R5.STL,,PRT0061-1;A1-ARM-R_ASM-1/JOINT06_ASM-1/43100001-1;A1-ARM-R_ASM-1/JOINT06_ASM-1/0006-1,AR5,R5,joint_R5,revolute,0,0,-0.220999999984351,0,0,0,Link_R4,0,1,0,0,0,-0.52,0.52,,,,,,,,
Link_R6,0.0560066677380954,-0.00277767611994548,-0.0101755727836224,0,0,0,0.230515822025,7.32159061092796E-05,-1.49694248916981E-05,1.91768373286388E-06,0.00068047569155569,-5.04426355389533E-07,0.000748336172402713,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_R6.STL,,00-1;ZHOU-1;ISO4762-M4X10-DIP-1,AR6,R6,joint_R6,revolute,0,0,-0.0499999999999613,0,0,0,Link_R5,-1,0,0,0,0,-0.52,0.52,,,,,,,,
Link_L0,3.26885964493272E-05,0.0137211839725704,-1.26037103737099E-05,0,0,0,0.616795734136049,0.000340027784332544,-7.23904211299407E-07,1.09598157614589E-07,0.000377990242730672,-1.42670770148739E-07,0.000329963434114129,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_L0.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_L0.STL,,A1-ARM-L_ASM-1/A1-BASE-L_ASM-1/_2D000-1;A1-ARM-L_ASM-1/A1-BASE-L_ASM-1/00001-1,AL0,L0,joint_L0,fixed,0,0.020999999999986,-0.0550000000000045,0,0,0,base,0,0,0,,,,,,,,,,,,
Link_L1,-0.000399992950217182,0.0845205922354877,3.41097415554763E-05,0,0,0,0.566452819611191,0.000503980844510599,1.53832019485107E-05,1.42436330345735E-07,0.00030461699053135,-9.36529897936566E-07,0.000595428721581904,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_L1.STL,1,1,1,1,0,0,0,0,0,0,package://A1-legs_V1/meshes/Link_L1.STL,,A1-ARM-L_ASM-1/JOINT02-L_ASM-1/A1-LG1-100-1;A1-ARM-L_ASM-1/JOINT02-L_ASM-1/0003-1;A1-ARM-L_ASM-1/JOINT02-L_ASM-1/A1-JXGL-0001-1;A1-ARM-L_ASM-1/JOINT02-L_ASM-1/A1-JSGL-0001-1;A1-ARM-L_ASM-1/JOINT02-L_ASM-1/A1-SCZJJ-0001-1;A1-ARM-L_ASM-1/JOINT02-L_ASM-1/复件 零件4^JOINT02-L_ASM-1,AL1,L1,joint_L1,revolute,0,0.0412499999999941,0,0,0,0,Link_L0,0,1,0,0,0,-3.14,1.04,,,,,,,,
